Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Gujarat,"Financial Year (Apr - Mar), 2019",Department of Pharmaceuticals,Pardhan Mantri Bhartiya Jan Aushadhi Pariyojana (PMBJP),Cash,10315137
India,Karnataka,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,867746552
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,15063.18882999548212779800
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Ministry of Information and Broadcasting,Scholarship Scheme Of Satyajit Ray Film And Television Institute Kolkata,Cash,13750
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,505120
India,Punjab,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,5333
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,3932462707
India,Uttarakhand,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",GB Pant National Institute of Himalayan Environment and Sustainable Development,Cash,3483072
India,Punjab,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,21841135
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,51000
India,Mizoram,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,586800
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-SRF and RA Fellowship,Cash,211600
India,Telangana,"Financial Year (Apr - Mar), 2019",Ministry of Textiles,Amended Technology Upgradations Fund,Cash,1300839
India,Meghalaya,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,18392626
India,Lakshadweep,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,1221000
India,Gujarat,"Financial Year (Apr - Mar), 2018","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,305280
India,Mizoram,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,4488824855
India,Rajasthan,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,27315520
India,Kerala,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,37089796
India,West Bengal,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,980000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,776988365
India,Ladakh,"Financial Year (Apr - Mar), 2017",Ministry of External Affairs,Publications,Cash,65.61256558529568939000
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Indira Gandhi Scholarship For Single Girl Child,Cash,290632
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Pharmaceuticals,Pardhan Mantri Bhartiya Jan Aushadhi Pariyojana (PMBJP),Cash,1984676
India,Gujarat,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,ASHA incentives,Cash,120316411
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,147506941
India,Maharashtra,"Financial Year (Apr - Mar), 2018",Ministry of Home Affairs (excluding Dep of Official Languages and Dept of Inter State Council Sect),Prime Minister scholarship scheme,Cash,228000
India,Karnataka,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,578180992
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,3924155
India,Telangana,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Widow Pension Scheme-IGNWPS,Cash,785512800
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship PG,Cash,416613
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,26640
India,Mizoram,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,306600
India,Kerala,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Widow Pension Scheme-IGNWPS,Cash,382672000
India,Nagaland,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,Cash,399360
India,Karnataka,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,19330508334
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-SRF and RA Fellowship,Cash,3087012
India,Gujarat,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,67940452
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,162156
India,Puducherry,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,YOUTH HOSTELS,Cash,126000
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,ASHA incentives,Cash,120294916
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,283811559
India,Tripura,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,55758221
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Primary Skill Development programme under IFLADP,Cash,4078500
India,Kerala,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship UG,Cash,1145000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,37774900000
India,Tripura,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,90062489
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,Cash,710400
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,189396138
India,Telangana,"Financial Year (Apr - Mar), 2018",Ministry of Drinking Water and Sanitation,Swachh Bharat Mission Gramin,Cash and In Kind,2587795632
India,Jharkhand,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,2030499
India,West Bengal,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,"Centrally Sponsored Scheme For Implementation Of Protection Of Civil Rights Act 1955 And Scheduled Castes And Scheduled Castes And Scheduled Tribes (Prevention Of Atrocities Act, 1989)",Cash,19245000
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,National Family Benefit Scheme,Cash,13480000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,266879051
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,5415985
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,72552450
India,Odisha,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,31176800
India,Telangana,"Financial Year (Apr - Mar), 2019",Department of Pharmaceuticals,Pardhan Mantri Bhartiya Jan Aushadhi Pariyojana (PMBJP),Cash,1368002
India,Haryana,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth,Cash,1842215
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,374139773
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Payments to contractual staff,Cash,54556870
India,Jharkhand,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Credit Guarantee Scheme,Cash,147299592
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Ishan Uday Special Scholarship Scheme for North Eastern Region,Cash,2415234
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,QIP for faculty deputed for M.Tech/ Ph.D studies at QIP Centers,Cash,180000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,1308535239
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,999614
India,Tripura,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,254100
India,Karnataka,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,264570742
India,Kerala,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls Diploma Institutes,Cash,440000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,100038819
India,Telangana,"Financial Year (Apr - Mar), 2018","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,11655876
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,1267120
India,Odisha,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,56388700
India,Kerala,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,80400067
India,Haryana,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,556300
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Health Research,Fellowship Programmes Under The Human Resource Development For Health Research,Cash,1001358
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,84960
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,DAY NULM,Cash and In Kind,11788830.54
India,Karnataka,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,537488876
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,199603000
India,Kerala,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - ICAR Senior Research Fellowship,Cash,725000
India,Haryana,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,732210000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Scheme for Extra Mural Research in AYUSH,Cash,4394156
India,Telangana,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,3373086154
India,Haryana,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,2233050590
India,Telangana,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission On Agriculture Mechanization-Central Sector,Cash and In Kind,471458
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Food and Public Distribution,DBT Kind - PDS operations in 34 states and UTs,In Kind,210581354769.45
India,Meghalaya,"Financial Year (Apr - Mar), 2018",Department of Ex-Servicemen Welfare,Raksha Mantri Ex-servicemen Welfare Fund (RMEWF),Cash,24000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,SWACHH BHARAT MISSION URBAN,Cash,69040
India,Manipur,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,3771057
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,9234908
India,Kerala,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,772800
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,132280000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,11398915205
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,DAY-NRLM,Cash and In Kind,53210000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,1146217702
India,Odisha,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,27315942
India,Gujarat,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,255318
India,Ladakh,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,73201752.33799489079611000000
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Central Sector Scheme of Scholarship for College and University Students,Cash,870000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Information and Broadcasting,Scholarship Scheme Of Satyajit Ray Film And Television Institute Kolkata,Cash,49000
India,Jharkhand,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,"Financial Assistance for Education for the Wards of Beedi, Cine, IOMC, LSDM Workers",Cash,488030
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,1800
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",National Food Security Mission - NFSM,Cash and In Kind,658555
India,Kerala,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,598988000
India,Odisha,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,18754850
India,Gujarat,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,1096727000
India,Gujarat,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Scholarship For Top Class Education For Students With Disabilities,Cash,265000
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,3831766353
India,Haryana,"Financial Year (Apr - Mar), 2018",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,96600
India,Karnataka,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,147453900
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,2452040732
India,Punjab,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,254262586
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,3110333
India,Jharkhand,"Financial Year (Apr - Mar), 2018",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,2522063661
India,Meghalaya,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,9703598
India,Ladakh,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,59820618.41411410074836268422
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,237260
India,Kerala,"Financial Year (Apr - Mar), 2019",Department of Food and Public Distribution,DBT Kind - PDS operations in 34 states and UTs,In Kind,26888272667.66
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,90360000.00000000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post-Doctoral Fellowship for SC/ST Candidates,Cash,8066591
India,Punjab,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,1274339070
India,Odisha,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,10918476
India,Karnataka,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",National Food Security Mission - NFSM,Cash and In Kind,51957702
India,West Bengal,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",SFURTI- SI,In Kind,100800
India,Punjab,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,33259960
India,Manipur,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,12549600
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,3906000.00000000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for providing scholarships to Scheduled Caste students to pursue programmes in Higher Education such as M.Phil. and Ph.D.,Cash,160570649
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth,Cash,1295669
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,272327037
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,SWACHH BHARAT MISSION URBAN,Cash,297500
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Financial Assistance for Preservation and Development of Cultural Heritage of the Himalayas,Cash,2571000
India,West Bengal,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,938203000
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,156552000
India,Manipur,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,10288
India,Odisha,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Dr S Radhakrishnan Postdoctoral Fellowship in Humanities and Social Science,Cash,544028
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,4940266
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Payments to contractual staff,Cash,653491252
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,423273977
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,1831680
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Department of Higher Education,"Junior Research Fellowship in Science, Humanities and Social Sciences",Cash,49673025
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post-Doctoral Fellowship for SC/ST Candidates,Cash,9814977
India,Maharashtra,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,890757731
India,Punjab,"Financial Year (Apr - Mar), 2018",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,157080
India,Sikkim,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,33131030
India,Telangana,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,117975069
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,776335
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Emeritus Fellowship,Cash,1216439
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship UG,Cash,1047700
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,35000
India,Gujarat,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,37691725
India,Goa,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,1291308
India,Chandigarh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",National Food Security Mission - NFSM,Cash and In Kind,2294620
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,702737
India,Goa,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,16000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Pharmaceuticals,Scholarship to NIPER Students,Cash,25213540
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,268320
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,4582768000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,11680050
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,3709000000
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship UG,Cash,64000
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,111400
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,2174600
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,21776099576
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,60875136
India,Delhi,"Financial Year (Apr - Mar), 2018",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,102000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Janani suraksha yojana,Cash,422584189
India,Delhi,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Payments to contractual staff,Cash,66247526
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,577410559
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Cash,119524000
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,DAY-NRLM,Cash and In Kind,840000
India,Assam,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,Family Pension-cum-Life Assurance and Deposit Linked Insurance Schemes for the Plantation Workers in Assam,Cash,118667502
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health Research,Fellowship Programmes Under The Human Resource Development For Health Research,Cash,30000
India,Goa,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,5801291
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Credit Guarantee Scheme,Cash,43664590
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,Youth Hostels,Cash,216000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,508996
India,Gujarat,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,925300
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,137305
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Ishan Uday Special Scholarship Scheme for North Eastern Region,Cash,102420
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,4630
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Payments to contractual staff,Cash,16525938
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,298000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,50000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,27150091
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,73020800
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,1149840
India,Delhi,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Cash,4793902
India,Assam,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",GB Pant National Institute of Himalayan Environment and Sustainable Development,Cash,133787
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,26628800
India,Delhi,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,7634001
