Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Saksham scholarship for differently abled students of Degree Colleges,Cash,140000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,13280302
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,DAY-NRLM,Cash and In Kind,495000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,2776749
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,5703225
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,1772579999
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,22924698
India,Assam,"Financial Year (Apr - Mar), 2016",Deparment of Rural Development,MGNREGA,Cash,12531346209
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,2521835
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,324224140
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,196800
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,194146
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Ishan Uday Special Scholarship Scheme for North Eastern Region,Cash,7142634
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,237833000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,4.8
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,3199767
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Centrally Sponsored,Cash,1347544000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Food and Public Distribution,DBT Kind - PDS Operations In 34 States And UTs,In Kind,54038322718
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Department of Heavy Industry,Demand Incentive Delivery Mechanism under FAME India Scheme,In Kind,19189300
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,ASHA incentives,Cash,174689845
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",Department of Commerce,Coffee Board,Cash,1171640
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,4597110398
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,369310
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Primary Skill Development programme under IFLADP,Cash,163500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of External Affairs,Promotion of Yoga,Cash,1500000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Pharmaceuticals,Pardhan Mantri Bhartiya Jan Aushadhi Pariyojana (PMBJP),Cash,1181912
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,266800
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,99967250
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,919319
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,Cash,8372420
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Emeritus Fellowship,Cash,1975485
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - Tribal TB Patients,Cash,264000
India,Assam,"Financial Year (Apr - Mar), 2017",Ministry of Petroleum and Natural Gas,PAHAL,Cash,5043520000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,10000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,3850000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,126500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,727584
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,944931094
