Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Telangana,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,174413.853,16288.335
India,Uttarakhand,"Financial Year (Apr - Mar), 2015","August, 2015",Diammonium Phosphate,0.000,251.050
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014","February, 2015",Diammonium Phosphate,400000.000,230735.900
India,West Bengal,"Financial Year (Apr - Mar), 2015","September, 2015",Triple superphosphate,0.000,7377.550
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.000,32602.610
India,Telangana,"Financial Year (Apr - Mar), 2015","March, 2016",UREA,110000.000,4464.150
India,Uttarakhand,"Financial Year (Apr - Mar), 2013","March, 2014",Muriate of Potash (MOP) or Potassium Chloride,500.000,0.000
India,Telangana,"Financial Year (Apr - Mar), 2013","March, 2014",UREA,152612.121,34903.757
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2015","September, 2015",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012","October, 2012",Diammonium Phosphate,40000.000,3641.150
India,Uttarakhand,"Financial Year (Apr - Mar), 2013","December, 2013",Monoammonium Phosphate,0.000,0.000
India,Tripura,"Financial Year (Apr - Mar), 2012","June, 2012",Diammonium Phosphate,460.000,0.000
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2014","October, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Uttarakhand,"Financial Year (Apr - Mar), 2015","February, 2016",UREA,0.000,5851.600
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014","nitrogen, phosphorus, and potassium",175000.000,73687.550
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2014","September, 2014",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","August, 2013","nitrogen, phosphorus, and potassium",40180.000,21738.820
India,West Bengal,"Financial Year (Apr - Mar), 2014","December, 2014","nitrogen, phosphorus, and potassium",51200.000,47885.930
India,Telangana,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,21801.732,19969.845
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2015","December, 2015",Single super Phosphate,0.000,0.000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014","February, 2015",UREA,725000.000,329632.100
India,Telangana,"Financial Year (Apr - Mar), 2014","May, 2014",Diammonium Phosphate,25000.000,7430.350
India,Telangana,"Financial Year (Apr - Mar), 2015","September, 2015",UREA,160000.000,11160.900
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","June, 2013",UREA,44000.000,4972.200
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014","April, 2014",Single super Phosphate,0.000,0.000
India,Uttarakhand,"Financial Year (Apr - Mar), 2012","May, 2012",Diammonium Phosphate,2000.000,731.000
